id	bank8k	prg_offset	file_offset	capacity	display_limit	original_hex	original_text	translation	ui_width	ui_lines	wrapped_preview	encoded_length
D0043	02	046E8	046F8	37		86 AC 82 8B 94 B0 92 81 A8 93 89 AA AC FF 99 B0 88 AD 8A A9 A8 FF 99 AD 95 AD 99 8C 92 AE 95 FF 93 82 8E 82 BF	きをうしなっているところを はっけんされる はんにんはすでに とうそう。	Её нашли без сознания.Преступник скрылся.	26	4	Её нашли без | сознания.Преступник | скрылся.	41
D0044	02	0470E	0471E	40		8D AE AD 90 FF B6 8B B2 82 85 AD 98 88 85 AE BF FF 92 85 AE 85 A7 85 AE 94 8B BF FF 8E 82 8A 88 81 8E AE 87 90 B2 82 BF	ぜんち 2しゅうかんのけが。 てがかりがなし。 そうさけいぞくちゅう。	Травмы на 2 недели.Улик нет.Дело открыто.	26	4	Травмы на 2 недели.Улик | нет.Дело открыто.	41
D0045	02	04737	04747	15		F6 C7 E9 C1 EC 92 81 9D 82 85 8B AE 88 AD F7	「クレイヲていほうかじけん」	Пожар в доме Клейна.	26	4	Пожар в доме Клейна.	20
D0046	02	04747	04757	53		B5 BD BA BA 97 AD FF BD 85 AE 91 FF B7 B4 95 90 9F A1 81 FF 8D 81 D8 FC CC 86 B3 82 85 81 90 85 87 98 DC EC E7 FC BF C7 E9 C1 EC 92 81 A5 A7 FF 8B B2 B0 85 BF	1966ねん 9がつ 30にちみめい せいノースきょうかいちかくのヘヲリー。クレイヲていより しゅっか。	30 сентября 1966.Ночью загорелся дом Генри Клейна у церкви Сент Норт.	26	4	30 сентября 1966.Ночью | загорелся дом Генри Клейна | у церкви Сент Норт.	69
D0047	02	0477D	0478D	47		85 84 87 99 8D AE AD 8B B3 82 FF C7 E9 C1 EC 8A AD 99 FF 8B B3 82 8B 8F 81 92 AE 99 B0 88 AD BF FF 9B 8B AD 9A AE 98 82 8F 85 AE 81 80 A7 BF	かおくはぜんしょう クレイヲさんは しょうしたいではっけん。 ふしんびのうたがいあり。	Дом сгорел.Клейн найден обгоревшим.Есть подозрение на поджог.	26	4	Дом сгорел.Клейн найден | обгоревшим.Есть подозрение | на поджог.	61
D0048	02	047AD	047BD	28		9D 82 85 8B AE 88 AD 93 8B 92 FF 8E 82 8A 8A A9 8F 85 AE FF A1 81 86 B2 82 81 A7 BF	ほうかじけんとして そうさされたが めいきゅういり。	Расследовали как поджог,но дело закрыли.	26	4	Расследовали как поджог,но | дело закрыли.	40
D0049	02	047CA	047DA	33		93 82 94 AD 9A AD A1 81 FC 8B AE B3 82 A5 82 8B B1 FC 8B AA BF BC BA 97 AD 85 AE 8F DB C4 FC D3 AE	とうなんひんめいーじょうようしゃーしろ。86ねんがたフオード	Кража.Авто.Белый Форд 1986.	26	4	Кража.Авто.Белый Форд | 1986.	27
D0050	02	047EC	047FC	43		9A 85 AE 81 93 93 AE 88 A2 93 FC EA DA AE EC CC AE 8B B3 82 85 81 FF 85 81 90 B3 82 FF C3 D3 AE EB FC D3 AE BF EA DA AE EC CC AE	ひがいとどけもとーロビヲズしょうかい かいちょう エドワード。ロビヲズ	Заявитель Эдвард Роббинс глава Роббинс Компани.	26	4	Заявитель Эдвард Роббинс | глава Роббинс Компани.	47
D0051	02	04818	04828	35		93 82 94 AD 99 AE 8B B3 FF FC EF 90 87 F6 EA DA AE EC CC AE 8B B3 82 85 81 90 B2 82 8B B1 8B AE B3 82 F7	とうなんばしょ ーCちく「ロビヲズしょうかいちゅうしゃじょう」	Место.Район C.Стоянка Роббинс Компани.	26	4	Место.Район C.Стоянка | Роббинс Компани.	38
D0052	02	0483C	0484C	27		90 B2 82 8B B1 90 B2 82 95 FF 85 86 AE AC 89 AB 8A A9 92 96 8C 9E A9 8F A2 A5 82	ちゅうしゃちゅうに かぎをこわされてぬすまれたもよう	Взломали замок припаркованной машины.	26	4	Взломали замок | припаркованной машины.	37
D0053	02	04858	04868	24		93 82 94 AD 9A AD A1 81 FC 93 88 81 FC 95 9D AD 8D 81 82 92 AE 93 88 81	とうなんひんめいーとけいーにほんせいうでとけい	Кража.Японские наручные часы.	26	4	Кража.Японские наручные | часы.	29
D0054	02	04871	04881	45		9A 85 AE 81 93 93 AE 88 A2 93 FC ED 90 87 F6 DD D2 E8 C7 AE E6 EC D3 AE F7 FF 8B 99 81 95 AD FF EA D9 AE FC D3 BF C4 CC AE DD AE FC EC	ひがいとどけもとーAちく「ホテルグラヲド」 しはいにん ロバート。オズボーヲ	Заявитель.Отель Гранд,район A.Роберт Осборн.	26	4	Заявитель.Отель | Гранд,район A.Роберт | Осборн.	44
D0055	02	0489F	048AF	13		93 82 94 AD 99 AE 8B B3 FF FC 9B A1 81	とうなんばしょ ーふめい	Место неизвестно.	26	4	Место неизвестно.	17
D0056	02	048AD	048BD	25		93 9E A7 86 B1 87 98 A2 90 A2 98 85 A6 FF 94 87 94 B0 8F 93 98 93 93 AE 88	とまりきゃくのもちものから なくなったとのとどけ	Гость сообщил что часы пропали.	26	4	Гость сообщил что часы | пропали.	31
D0057	02	048C7	048D7	19		93 82 94 AD 9A AD A1 81 FC D4 C1 DB FC 95 87 86 A7 A5 82	とうなんひんめいーナイフーにくきりよう	Кража.Нож для мяса.	26	4	Кража.Нож для мяса.	19
D0058	02	048DB	048EB	44		9A 85 AE 81 93 93 AE 88 A2 93 FC EE 90 87 F6 DA AE C5 AE FC CC AE CC D3 C0 F7 FF 8B B2 8B AE AD CF AE D5 FC BF DA AE C5 AE FC CC AE	ひがいとどけもとーBちく「ビガーズストア」 しゅじんダニー。ビガーズ	Заявитель.Биггерс Стор,район B.Дэнни Биггерс.	26	4	Заявитель.Биггерс | Стор,район B.Дэнни | Биггерс.	45
D0059	02	04908	04918	14		93 82 94 AD 99 AE 8B B3 FF FC 92 AD 93 82	とうなんばしょ ーてんとう	Место магазин.	26	4	Место магазин.	14
D0060	02	04917	04927	26		92 AD 8B B2 A5 A7 FF 9F 8D 98 8F 94 85 A6 FF 96 8C 9E A9 8F 93 98 93 93 AE 88	てんしゅより みせのたなから ぬすまれたとのとどけ	Хозяин сообщил что нож украли с полки.	26	4	Хозяин сообщил что нож | украли с полки.	38
D0061	02	0493E	0494E	29		D9 EA E8 D3 AE 87 AD FF 90 B3 82 8A A2 8D 8C AE 95 A9 81 8B AE B3 82 99 FF 93 A9 AD A5	ハロルドくん ちょうさもせずにれいじょうは とれんよ	Харолд без расследования ордер не дам.	26	4	Харолд без расследования | ордер не дам.	38
D0062	02	0495C	0496C	33		81 9E 98 FF 8E 82 8A 92 AE 99 FF 85 8F 87 8E 82 8A 98 9A 91 A5 82 99 FF 94 81 93 84 A2 82 85 AE 97	いまの そうさでは かたくそうさのひつようは ないとおもうがね	Сейчас обыск не нужен.	26	4	Сейчас обыск не нужен.	22
D0063	02	0497E	0498E	21		AB 85 B0 8F BF 85 8F 87 8E 82 8A 98 86 B3 85 AC 8F AE 8E 82 BF	わかった。かたくそうさのきょかをだそう。	Хорошо.Даю ордер на обыск.	26	4	Хорошо.Даю ордер на обыск.	26
D0064	02	04994	049A4	48		94 95 AC 85 AD 85 AE 83 92 A8 AD 8F AE FF 8E 82 8A A2 8D 8C AE 95 FF 8F 81 9D 8B AE B3 82 AC 93 A8 94 93 AE FF 81 81 85 88 AE AD 95 8B 8F 9E 83	なにをかんがえてるんだ そうさもせずに たいほじょうをとるなど いいかげんにしたまえ	Ты что творишь?Без следствия ордер на арест не дам.	26	4	Ты что творишь?Без | следствия ордер на арест | не дам.	51
D0065	02	049C5	049D5	45		07 95 99 FF 8F 81 9D 8B AE B3 82 AC FF 8F AE 8C 9D 93 AE 98 8B B3 82 89 85 AE FF 8E AA B0 92 81 A8 93 99 FF 84 A2 83 94 81 85 AE 97 BF	わたしには たいほじょうを だすほどのしょうこが そろっているとは おもえないがね。	Доказательств для ареста пока мало.	26	4	Доказательств для ареста | пока мало.	35
D0066	02	049F3	04A03	63		AB 85 B0 8F BF 8E 98 95 AD 88 AE AD AC 8F 81 9D 8B 92 FF 93 A7 8B A6 9C AE 92 9F 8F 9E 83 FF 05 99 8F 81 9D 8B AE B3 82 AC FF 82 88 93 A8 93 FF 8E 98 A5 82 86 AE 8B B1 AC 8F 81 9D 8B 8F BF	わかった。そのにんげんをたいほして とりしらべてみたまえ J.B.はたいほじょうを うけとると そのようぎしゃをたいほした。	Хорошо.Арестуй и допроси его.J.B. получил ордер и арестовал подозреваемого.	26	4	Хорошо.Арестуй и допроси | его.J.B. получил ордер и | арестовал подозреваемого.	72
D0067	02	04A33	04A43	28		07 99 FF 91 9E 0A BF 07 99 0B AC FF 9B 85 87 80 81 8B 92 81 0C BF 89 AA 8B 92 81 08	わたしは つまです。わたしはビルを ふかくあいしていました。ころしていません	Я его жена.Я любила Билла.Я его не убивала.	26	4	Я его жена.Я любила | Билла.Я его не убивала.	43
D0068	02	04A50	04A60	52		8D 81 A1 81 9D 88 AD 99 FF 0B 85 AE 81 B0 8F 85 A6 FF 88 81 A3 87 8B 8F 98 0A BF 8F AE 9E B0 92 81 8F 98 99 FF 82 8F 85 AE AB A9 8F 87 94 85 B0 8F 85 A6 0A	せいめいほけんは ビルがいったから けいやくしたのです。だまっていたのは うたがわれたくなかったからです	Полис оформил Билл.Я молчала,чтобы меня не подозревали.	26	4	Полис оформил Билл.Я | молчала,чтобы меня не | подозревали.	55
D0069	02	04A85	04A95	32		8F 8B 85 95 FF 8B 80 AB 8D 93 99 81 83 08 92 AE 8B 8F FF 92 AE A2 FF 0B AC 80 81 8B 92 81 0C BF	たしかに しあわせとはいえませんでした でも ビルをあいしていました。	Мы были не очень счастливы.Но я любила Билла.	26	4	Мы были не очень | счастливы.Но я любила | Билла.	45
