# Nested RU byte-pair/n-gram dictionary. TSV order is dependency order.
# 60 and 62 preserve original control macros. D0..EF use the v0.8 secondary dictionary.
TOKEN	EXPANSION_HEX	KIND	OCCURRENCES	CORPUS_SAVING
CE	46 5B 47 00	NGRAM	31	93
CF	01 8A 58 55	NGRAM	31	93
D0	57 50 45	NGRAM	45	90
D1	01 42 AB 4A 7A	NGRAM	23	92
D2	0C 50 68 6A 4C 8A 7A	NGRAM	15	90
D3	6E 58 4A	NGRAM	41	82
D4	3E 59 72	NGRAM	41	82
D5	11 68 7C 43 5B 4A 58 41 3A	NGRAM	11	88
D6	51 6D 43	NGRAM	39	78
D7	13 4A 6D 6B	NGRAM	26	78
D8	49 77 A5	NGRAM	38	76
D9	83 4C 61	NGRAM	37	74
DA	13 51 AB 4A 42	NGRAM	19	76
DB	65 1F 72	NGRAM	36	72
DC	4A 49 00	NGRAM	36	72
DD	80 50 A9 59 71 7D	NGRAM	15	75
DE	0C 41 48 73 AA 3E	NGRAM	15	75
DF	05 46 48 55 52 A4 4B 3A	NGRAM	11	77
E0	84 A2 2C 3F	NGRAM	24	72
E1	6A 57 9D	NGRAM	35	70
E2	46 57 41	NGRAM	35	70
E3	89 97 AD	NGRAM	34	68
E4	3F 3F 3F	NGRAM	34	68
E5	50 83 5A 67	NGRAM	23	69
E6	19 69 36	NGRAM	33	66
E7	09 66 59 6C 3E	NGRAM	17	68
E8	10 8A 4E 55	NGRAM	22	66
E9	0F 67 A2 2C	NGRAM	22	66
EA	52 55 44	NGRAM	32	64
EB	4E 46 6F	NGRAM	32	64
EC	05 41 3E	NGRAM	32	64
ED	53 47 00	NGRAM	31	62
EE	17 50 4C 70 4B	NGRAM	16	64
EF	76 89 85	NGRAM	30	60
