source	target	target_is_pointer_start	target_ids
4AF2	EDDA	0	
4AF2	EDE1	0	
4B09	EDDA	0	
4B09	EDE1	0	
4B24	EDDA	0	
4B24	EDE1	0	
4B24	EDDA	0	
4B24	E88D	0	
4B24	EDE1	0	
4B6C	EDDA	0	
4B6C	EDE1	0	
4B6C	EDDA	0	
4B6C	EDE1	0	
4BB1	EDDA	0	
4BB1	EDE1	0	
4CCD	EDDA	0	
4CCD	EDE1	0	
4CE6	4CCD	0	
4D06	4CCD	0	
4D11	EDDA	0	
4D11	EDE1	0	
4D29	4D11	0	
4D4F	4D11	0	
4DC8	E94F	0	
4DC8	DADB	1	1479
4DDF	E94F	0	
4DDF	DADB	1	1479
4DF5	E94F	0	
4DF5	DADB	1	1479
4E0A	E94F	0	
4E0A	DADB	1	1479
4E4F	E94F	0	
4E4F	DADB	1	1479
4E7C	E94F	0	
4E7C	DADB	1	1479
4FD4	ED82	0	
4FD4	ED86	0	
502E	E94F	0	
502E	EC1E	0	
506C	ED82	0	
506C	E838	0	
506C	ED86	0	
508C	ED82	0	
508C	ED86	0	
50C0	ED82	0	
50C0	ED86	0	
514E	EDE4	0	
514E	EDEC	0	
5174	EDE4	0	
5174	EDEC	0	
5174	EDE4	0	
5174	EDEC	0	
51C1	EDE4	0	
51C1	EDEC	0	
51C1	EDE4	0	
51C1	EDEC	0	
5273	EDE4	0	
5273	EDEC	0	
52DF	E94F	0	
52DF	DADB	1	1479
52F9	E94F	0	
52F9	DADB	1	1479
5324	E94F	0	
5324	DADB	1	1479
5336	E94F	0	
5336	DADB	1	1479
534F	E94F	0	
534F	DADB	1	1479
5531	EAB2	0	
5531	EACA	0	
556C	5548	1	705
55A9	E94F	0	
55A9	DADB	1	1479
55D0	E94F	0	
55D0	DADB	1	1479
5608	E94F	0	
5608	DADB	1	1479
5617	E94F	0	
5617	DADB	1	1479
5658	E94F	0	
5658	DADB	1	1479
567F	5677	1	1310
56A0	5677	1	1310
5886	E94F	0	
5886	DADB	1	1479
58A0	E94F	0	
58A0	DADB	1	1479
58B5	E94F	0	
58B5	DADB	1	1479
58CA	E94F	0	
58CA	DADB	1	1479
58F1	E94F	0	
58F1	DADB	1	1479
5912	EDEF	0	
5912	EDF5	0	
593B	EDEF	0	
593B	EDF5	0	
593B	EDEF	0	
593B	EDF5	0	
593B	EDEF	0	
593B	EDF5	0	
59B1	EDEF	0	
59B1	EDF5	0	
59B1	EDEF	0	
59B1	EDF5	0	
59B1	EDEF	0	
59B1	EDF5	0	
5A01	EDEF	0	
5A01	EDF5	0	
5A3A	E94F	0	
5A3A	E843	0	
5A3A	DADB	1	1479
5A56	E94F	0	
5A56	E843	0	
5A56	DADB	1	1479
5A78	E94F	0	
5A78	E843	0	
5A78	DADB	1	1479
5C06	E94F	0	
5C06	DADB	1	1479
5C36	E94F	0	
5C36	DADB	1	1479
5D80	ED82	0	
5D80	ED86	0	
5EE7	EA34	0	
5EFD	EA34	0	
5F53	EA3D	0	
5FC7	EA37	0	
5FF9	EA34	0	
600B	EA34	0	
6042	EA34	0	
609D	EA34	0	
60DD	E94F	0	
60DD	EA34	0	
60DD	DADB	1	1479
611A	E94F	0	
611A	EA34	0	
611A	DADB	1	1479
6139	E94F	0	
6139	EA34	0	
6139	DADB	1	1479
615C	E9F0	0	
615C	EDB6	0	
615C	EDBB	0	
6189	EDB6	0	
6189	EDBB	0	
6189	EDB6	0	
6189	EDBB	0	
61CD	EA59	0	
61D1	EA59	0	
61D1	EDB6	0	
61D1	EDBB	0	
6209	EDB6	0	
6209	EDBB	0	
6209	6259	1	791
6232	EDB6	0	
6232	EDBB	0	
6232	6259	1	791
6265	EDB6	0	
6265	EDBB	0	
6292	E838	0	
629E	EDB6	0	
629E	EDBB	0	
62B8	EDB6	0	
62B8	EDBB	0	
6300	E94F	0	
6300	DADB	1	1479
63CB	EDEF	0	
63CB	EDF5	0	
63FC	EDEF	0	
63FC	EDF5	0	
63FC	EDEF	0	
63FC	EDF5	0	
63FC	EDEF	0	
63FC	EDF5	0	
6449	EDEF	0	
6449	EDF5	0	
646D	EDEF	0	
646D	EDF5	0	
6498	EDEF	0	
6498	EDF5	0	
6498	EDEF	0	
6498	EDF5	0	
6506	E94F	0	
6506	E843	0	
6506	DADB	1	1479
651C	E94F	0	
651C	E843	0	
651C	E843	0	
651C	DADB	1	1479
655F	E94F	0	
655F	E843	0	
655F	DADB	1	1479
6587	E94F	0	
6587	E843	0	
6587	DADB	1	1479
659B	E94F	0	
659B	E843	0	
659B	DADB	1	1479
65D1	E94F	0	
65D1	E843	0	
65D1	DADB	1	1479
6603	63C3	1	802
6603	EDEF	0	
6603	EDF5	0	
6640	EA76	0	
6644	EA76	0	
6644	EDEF	0	
6644	EDF5	0	
6644	EDEF	0	
6644	EDF5	0	
66C7	EA76	0	
66C7	EDEF	0	
66C7	EDF5	0	
66C7	EDEF	0	
66C7	EDF5	0	
6732	E843	0	
6732	DADB	1	1479
6751	E843	0	
6751	DADB	1	1479
6769	E843	0	
6769	DADB	1	1479
67BD	E838	0	
690E	67EB	1	831
69AB	EDF8	0	
69AB	EDFF	0	
69AB	EDF8	0	
69AB	EDFF	0	
69AB	EDF8	0	
69AB	EDFF	0	
69AB	EDF8	0	
69AB	EDFF	0	
69AB	EDF8	0	
69AB	EDFF	0	
69AB	EDF8	0	
69AB	EDFF	0	
6B25	ED82	0	
6B25	ED86	0	
6B58	E87A	0	
6B6A	E94F	0	
6B6A	DADB	1	1479
6B84	E838	0	
6B90	ED82	0	
6B90	ED86	0	
6BAA	E82C	0	
6BAA	ED86	0	
6BB2	ED82	0	
6BB2	ED86	0	
6BC1	5513	1	703
6BC1	5539	0	
6BC9	5513	1	703
6BC9	5539	0	
6BD1	5513	1	703
6BD1	5539	0	
6BD9	5513	1	703
6BD9	5539	0	
6BE1	5513	1	703
6BE1	5539	0	
6BE9	5513	1	703
6BE9	5539	0	
6BF1	5513	1	703
6BF1	5539	0	
6BF9	5513	1	703
6BF9	5539	0	
6C01	5513	1	703
6C01	5539	0	
6C0A	EDEF	0	
6C0A	EDF5	0	
6C20	ED82	0	
6C20	E881	0	
6C20	ED86	0	
6C2A	ED82	0	
6C2A	1A51	0	
6C2A	ED86	0	
6C49	EA34	0	
6C79	EA3D	0	
6CB9	EA9C	0	
6CB9	EACA	0	
6CC1	ED82	0	
6CC1	ED86	0	
6CC1	ED82	0	
6CC1	ED86	0	
6CC1	ED82	0	
6CC1	ED86	0	
6CC1	ED82	0	
6CC1	ED86	0	
6CC1	ED82	0	
6CC1	ED86	0	
6CC1	ED82	0	
6CC1	ED86	0	
6CC1	DADB	1	1479
6DB0	ED82	0	
6DB0	E838	0	
6DB0	ED86	0	
6DD2	ED82	0	
6DD2	ED86	0	
6DD2	ED82	0	
6DD2	ED86	0	
6E11	EA9C	0	
6E15	ED82	0	
6E15	ED86	0	
6E15	ED82	0	
6E15	ED86	0	
6E15	ED82	0	
6E15	ED86	0	
6E15	ED82	0	
6E15	ED86	0	
6EBE	ED82	0	
6EBE	ED86	0	
6EBE	ED82	0	
6EBE	ED86	0	
6EBE	ED82	0	
6EBE	ED86	0	
6F18	ED82	0	
6F18	ED86	0	
6F26	ED82	0	
6F26	ED86	0	
6F26	ED82	0	
6F26	ED86	0	
6F5E	E90F	0	
6F62	ED82	0	
6F62	ED86	0	
6F7E	ED82	0	
6F7E	ED86	0	
6FAB	ED82	0	
6FAB	ED86	0	
6FAB	ED82	0	
6FAB	ED86	0	
6FFA	ED82	0	
6FFA	ED86	0	
7027	ED82	0	
7027	ED86	0	
7027	ED82	0	
7027	ED86	0	
7082	ED82	0	
7082	ED86	0	
7082	ED82	0	
7082	ED86	0	
70C2	ED82	0	
70C2	ED86	0	
70C2	ED82	0	
70C2	ED86	0	
70FF	EAB2	0	
7103	EACA	0	
7155	EADF	0	
7166	E87A	0	
71A7	EE02	0	
71A7	EE09	0	
71C9	EE02	0	
71C9	EE09	0	
71EC	EE02	0	
71EC	EE09	0	
7223	EE02	0	
7223	EE09	0	
7240	EE02	0	
7240	EE09	0	
725A	EE02	0	
725A	EE09	0	
7280	EE02	0	
7280	EE09	0	
733D	E94F	0	
733D	DADB	1	1479
7355	E94F	0	
7355	DADB	1	1479
738D	E94F	0	
738D	DADB	1	1479
73BA	E94F	0	
73BA	EE02	0	
73BA	EE09	0	
7588	75A2	1	919
7895	E94F	0	
7895	DADB	1	1479
78F2	E94F	0	
78F2	DADB	1	1479
7910	E94F	0	
7910	DADB	1	1479
792D	E94F	0	
792D	DADB	1	1479
796B	E94F	0	
796B	DADB	1	1479
7DD5	E94F	0	
7DD5	DADB	1	1479
7DF8	E94F	0	
7DF8	DADB	1	1479
7E17	E94F	0	
7E17	DADB	1	1479
7E30	E94F	0	
7F08	DADB	1	1479
7F92	7FA1	0	
8000	EB01	0	
8022	EB01	0	
8256	DADB	1	1479
8277	DADB	1	1479
831D	7FA1	0	
845D	E88D	0	
86F3	ED82	0	
86F3	ED86	0	
8852	DADB	1	1479
8923	E94F	0	
8923	DADB	1	1479
8956	ED5A	0	
8956	ED5F	0	
896D	ED5A	0	
896D	ED5F	0	
8991	ED5A	0	
8991	ED5F	0	
89B1	ED5A	0	
89B1	ED5F	0	
89B1	ED5A	0	
89B1	E88D	0	
89B1	ED5F	0	
89FD	ED5A	0	
89FD	ED5F	0	
89FD	ED5A	0	
89FD	ED5F	0	
89FD	ED5A	0	
89FD	ED5F	0	
8A76	ED5A	0	
8A76	ED5F	0	
8A76	ED5A	0	
8A76	ED5F	0	
8AC5	ED5A	0	
8AC5	ED5F	0	
8AC5	ED5A	0	
8AC5	ED5F	0	
8AC5	ED5A	0	
8AC5	ED5F	0	
8B2A	ED5A	0	
8B2A	ED5F	0	
8B73	ED5A	0	
8B73	ED5F	0	
8BA7	ED5A	0	
8BA7	ED5F	0	
8BA7	ED5A	0	
8BA7	ED5F	0	
8C26	E94F	0	
8C26	DADB	1	1479
8C4A	E94F	0	
8C4A	DADB	1	1479
8C64	E94F	0	
8C64	ED5A	0	
8C64	ED5F	0	
8CC4	EDDA	0	
8CC4	EDE1	0	
8CC4	EDDA	0	
8CC4	EDE1	0	
8D22	EDDA	0	
8D22	EDE1	0	
8D7B	EDDA	0	
8D7B	EDE1	0	
8DA5	EDDA	0	
8DA5	EDE1	0	
8DD4	EDDA	0	
8DD4	EDE1	0	
8DD4	EDDA	0	
8DD4	EDE1	0	
8E36	EDDA	0	
8E36	EDE1	0	
8E5A	EDDA	0	
8E5A	EDE1	0	
8EB1	E94F	0	
8EB1	DADB	1	1479
8EC8	E94F	0	
8EC8	DADB	1	1479
8EE6	E94F	0	
8EE6	DADB	1	1479
8F1A	E94F	0	
8F1A	DADB	1	1479
8F36	E94F	0	
8F36	EBD2	0	
8F36	DADB	1	1479
8F40	EE0C	0	
8F40	EE13	0	
8F71	EE0C	0	
8F71	EE13	0	
8F71	EE0C	0	
8F71	EE13	0	
8FCC	DADB	1	1479
9025	EE0C	0	
9025	EE13	0	
9046	EE0C	0	
9046	EE13	0	
9046	EE0C	0	
9046	EE13	0	
9199	E94F	0	
9199	DADB	1	1479
93EA	93D6	1	1092
9462	EDE4	0	
9462	EDEC	0	
9482	EDE4	0	
9482	EDEC	0	
9497	EDE4	0	
9497	EDEC	0	
94C6	EDE4	0	
94C6	EDEC	0	
94C6	EDE4	0	
94C6	EDEC	0	
951B	EDE4	0	
951B	EDEC	0	
951B	EDE4	0	
951B	EDEC	0	
9566	EDE4	0	
9566	EDEC	0	
9580	EDE4	0	
9580	EDEC	0	
9644	EDE4	0	
9644	EDEC	0	
9651	E94F	0	
9651	DADB	1	1479
9669	E94F	0	
9669	DADB	1	1479
9685	E94F	0	
9685	DADB	1	1479
96A4	E94F	0	
96A4	DADB	1	1479
96DD	E94F	0	
96DD	DADB	1	1479
9704	E94F	0	
9704	DADB	1	1479
977C	ED5A	0	
977C	ED5F	0	
9786	ED5A	0	
9786	ED5F	0	
97D7	ED5A	0	
97D7	ED5F	0	
97FF	ED5A	0	
97FF	ED5F	0	
9820	ED5A	0	
9820	ED5F	0	
984B	ED5A	0	
984B	ED5F	0	
985C	ED5A	0	
985C	ED5F	0	
986F	ED5A	0	
986F	ED5F	0	
986F	ED5A	0	
986F	ED5F	0	
98D3	ED5A	0	
98D3	ED5F	0	
990B	EBE4	0	
990B	ED5A	0	
990B	ED5F	0	
990B	ED5A	0	
990B	ED5F	0	
990B	ED5A	0	
990B	ED5F	0	
9983	EBE4	0	
9983	ED5A	0	
9983	ED5F	0	
999A	ED5A	0	
999A	ED5F	0	
999A	ED5A	0	
999A	ED5F	0	
99DA	ED5A	0	
99DA	ED5F	0	
9A63	E94F	0	
9A63	DADB	1	1479
9A75	E94F	0	
9A75	DADB	1	1479
9A92	E94F	0	
9A92	DADB	1	1479
9AA9	E94F	0	
9AA9	DADB	1	1479
9ABF	E94F	0	
9ABF	DADB	1	1479
9B25	E94F	0	
9B25	DADB	1	1479
9B5E	E94F	0	
9B5E	DADB	1	1479
9BBB	E94F	0	
9BBB	DADB	1	1479
9BDA	ED5A	0	
9BDA	ED5F	0	
9DD9	E94F	0	
9DD9	DADB	1	1479
9E0E	9E15	0	
9E0E	DADB	1	1479
9E15	E94F	0	
9EC1	EE16	0	
9EC1	EE1B	0	
9EE9	EE16	0	
9EE9	EE1B	0	
A17A	EE16	0	
A17A	EE1B	0	
A198	EE16	0	
A198	EE1B	0	
A1CB	EE16	0	
A1CB	EE1B	0	
A223	EE16	0	
A223	EE1B	0	
A265	E90F	0	
A265	DADB	1	1479
A26C	E92C	0	
A26C	DADB	1	1479
A273	E94F	0	
A273	DADB	1	1479
A2AE	E94F	0	
A2AE	DADB	1	1479
A2BE	E94F	0	
A2BE	DADB	1	1479
A382	EE16	0	
A382	EE1B	0	
A382	EE16	0	
