id	ids	ptr	bank	cpu	len	class	reloc	reloc_reasons	incoming_f2	outgoing_f2	f2_targets	f_controls	raw	jp	jp_expanded
81	81	0FBE	A	8FBE	2	plain	YES		0	0			A8 FF	しらき	しらき
82	82	0FC0	A	8FC0	5	plain	YES		0	0			06 01 43 0C FF	さかぐち	さかぐち
83	83	0FC5	A	8FC5	2	plain	YES		0	0			A7 FF	ゲンさん	ゲンさん
84	84	0FC7	A	8FC7	2	plain	YES		0	0			BB FF	コロポックリ	コロポックリ
85	85	0FC9	A	8FC9	6	plain	YES		0	0			B3 76 1F 2C 28 FF	みせの まわり	みせの まわり
86	86	0FCF	A	8FCF	8	plain	YES		0	0			84 74 07 0E 16 29 01 FF	なにを しているか	なにを しているか
87	87	0FD7	A	8FD7	6	plain	YES		0	0			03 07 2B 07 7F FF	くしろしない	くしろしない
88	88	0FDD	A	8FDD	4	plain	YES		0	0			B8 07 7F FF	あばしりしない	あばしりしない
89	89	0FE1	A	8FE1	2	plain	YES		0	0			B7 FF	きたはま	きたはま
90	90	0FE3	A	8FE3	6	plain	YES		0	0			B7 76 10 1F 53 FF	きたはまの はまべ	きたはまの はまべ
91	91	0FE9	A	8FE9	3	plain	YES		0	0			B9 BA FF	さっぽろすすきの	さっぽろすすきの
92	92	0FEC	A	8FEC	4	plain	YES		0	0			B8 05 17 FF	あばしりこう	あばしりこう
93	93	0FF0	A	8FF0	2	plain	YES		0	0			BC FF	ましゅうこ	ましゅうこ
94	94	0FF2	A	8FF2	2	plain	YES		0	0			BE FF	ちゅうしゃじょう	ちゅうしゃじょう
95	95	0FF4	A	8FF4	2	plain	YES		0	0			9C FF	ストッキング	ストッキング
96	96	0FF6	A	8FF6	2	plain	YES		0	0			BD FF	しれとこ ごこ	しれとこ ごこ
97	97	0FF8	A	8FF8	4	plain	YES		0	0			CE 76 C8 FF	ウトロの まち	ウトロの まち
98	98	0FFC	A	8FFC	2	plain	YES		0	0			CB FF	あかんこ	あかんこ
99	99	0FFE	A	8FFE	9	plain	YES		0	0			15 24 07 16 94 1E 05 0F FF	あやしいひとのこと	あやしいひとのこと
100	100	1007	A	9007	10	plain	YES		0	0			E4 41 16 07 30 D1 76 05 0F FF	ガイシャ[GLYPH:$D1]の こと	ガイシャ[GLYPH:$D1]の こと
101	101	1011	A	9011	5	plain	YES		0	0			AF 76 05 0F FF	カップルの こと	カップルの こと
102	102	1016	A	9016	4	plain	YES		0	0			19 50 93 FF	おばさん	おばさん
103	103	101A	A	901A	3	plain	YES		0	0			99 D1 FF	しゃしん[GLYPH:$D1]	しゃしん[GLYPH:$D1]
104	104	101D	A	901D	3	plain	YES		0	0			99 D2 FF	しゃしん[GLYPH:$D2]	しゃしん[GLYPH:$D2]
105	105	1020	A	9020	5	plain	YES		0	0			50 16 0E 2E FF	ばいてん	ばいてん
106	106	1025	A	9025	4	plain	YES		0	0			19 4E 2E FF	おでん	おでん
107	107	1029	A	9029	7	plain	YES		0	0			42 31 17 1B 31 17 FF	ぎゅうにゅう	ぎゅうにゅう
108	108	1030	A	9030	4	plain	YES		0	0			CE 05 17 FF	ウトロこう	ウトロこう
109	109	1034	A	9034	6	plain	YES		0	0			19 20 24 44 24 FF	おみやげや	おみやげや
110	110	103A	A	903A	5	plain	YES		0	0			01 41 24 BF FF	かがやりょかん	かがやりょかん
111	111	103F	A	903F	4	plain	YES		0	0			CD 76 C8 FF	はこだての まち	はこだての まち
112	112	1043	A	9043	8	plain	YES		0	0			1E 0D 04 10 2E 0F 17 FF	のつけはんとう	のつけはんとう
113	113	104B	A	904B	5	plain	YES		0	0			CC 76 05 0F FF	トドワラの こと	トドワラの こと
114	114	1050	A	9050	5	plain	YES		0	0			09 2E 16 2E FF	せんいん	せんいん
115	115	1055	A	9055	3	plain	YES		0	0			12 1D FF	ふね	ふね
116	116	1058	A	9058	2	plain	YES		0	0			C4 FF	くっしゃろこ	くっしゃろこ
117	117	105A	A	905A	2	plain	YES		0	0			C6 FF	まりもや	まりもや
118	118	105C	A	905C	5	plain	YES		0	0			BF 76 05 0F FF	りょかんの こと	りょかんの こと
119	119	1061	A	9061	5	plain	YES		0	0			C6 76 05 0F FF	まりもやの こと	まりもやの こと
120	120	1066	A	9066	8	plain	YES		0	0			14 0B 29 C8 76 05 0F FF	ほたるまちの こと	ほたるまちの こと
121	121	106E	A	906E	10	plain	YES		0	0			14 01 1E 02 30 03 1E 05 0F FF	ほかのきゃくのこと	ほかのきゃくのこと
122	122	1078	A	9078	4	plain	YES		0	0			B3 76 94 FF	みせの ひと	みせの ひと
123	123	107C	A	907C	4	plain	YES		0	0			19 01 20 FF	おかみ	おかみ
124	124	1080	A	9080	8	plain	YES		0	0			01 2E 05 17 02 30 03 FF	かんこうきゃく	かんこうきゃく
125	125	1088	A	9088	5	plain	YES		0	0			50 2E 0F 17 FF	ばんとう	ばんとう
126	126	108D	A	908D	5	plain	YES		0	0			44 16 07 30 FF	げいしゃ	げいしゃ
127	127	1092	A	9092	6	plain	YES		0	0			24 4F 0C 32 17 FF	やどちょう	やどちょう
128	128	1098	A	9098	5	plain	YES		0	0			20 48 17 20 FF	みずうみ	みずうみ
129	129	109D	A	909D	5	plain	YES		0	0			E3 0B 50 05 FF	タバコ	タバコ
130	130	10A2	A	90A2	6	plain	YES		0	0			E4 27 16 0B 33 FF	ライター	ライター
131	131	10A8	A	90A8	5	plain	YES		0	0			01 2E 50 2E FF	かんばん	かんばん
132	132	10AD	A	90AD	6	plain	YES		0	0			E4 58 1A 2E 0F FF	ペナント	ペナント
133	133	10B3	A	90B3	3	plain	YES		0	0			99 24 FF	しゃしんや	しゃしんや
134	134	10B6	A	90B6	5	plain	YES		0	0			8C 76 86 08 FF	あたりの ようす	あたりの ようす
135	135	10BB	A	90BB	2	plain	YES		0	0			C7 FF	わごと おんせん	わごと おんせん
136	136	10BD	A	90BD	4	plain	YES		0	0			AB 76 B1 FF	まきこの アパート	まきこの アパート
137	137	10C1	A	90C1	4	plain	YES		0	0			C0 76 C8 FF	もんべつの まち	もんべつの まち
138	138	10C5	A	90C5	3	plain	YES		0	0			B8 C2 FF	あばしりけいむしょ	あばしりけいむしょ
139	139	10C8	A	90C8	3	plain	YES		0	0			90 C1 FF	けいさつびょういん	けいさつびょういん
140	140	10CB	A	90CB	11	plain	YES		0	0			2C 45 0F 19 2E 09 2E 1E 05 0F FF	わごとおんせんのこと	わごとおんせんのこと
141	141	10D6	A	90D6	8	plain	YES		0	0			15 07 12 02 76 17 27 FF	あしふきの うら	あしふきの うら
142	142	10DE	A	90DE	8	plain	YES		0	0			03 48 01 45 76 1A 01 FF	くずかごの なか	くずかごの なか
143	143	10E6	A	90E6	6	plain	YES		0	0			E3 41 27 08 4F FF	ガラスど	ガラスど
144	144	10EC	A	90EC	3	plain	YES		0	0			25 01 FF	ゆか	ゆか
145	145	10EF	A	90EF	9	plain	YES		0	0			AC 76 E5 50 08 0B 19 29 FF	めぐみの バスタオル	めぐみの バスタオル
146	146	10F8	A	90F8	2	plain	YES		0	0			A2 FF	てちょう	てちょう
147	147	10FA	A	90FA	5	plain	YES		0	0			AB 76 05 0F FF	まきこの こと	まきこの こと
148	148	10FF	A	90FF	8	plain	YES		0	0			16 23 17 0F 76 05 0F FF	いもうとの こと	いもうとの こと
149	149	1107	A	9107	2	plain	YES		0	0			A3 FF	マリゴケ	マリゴケ
150	150	1109	A	9109	10	plain	YES		0	0			E3 1B 59 59 1B 2E 42 32 17 FF	ニポポにんぎょう	ニポポにんぎょう
151	151	1113	A	9113	4	plain	YES		0	0			AD 76 99 FF	うらたの しゃしん	うらたの しゃしん
152	152	1117	A	9117	5	plain	YES		0	0			B1 1E 1A 01 FF	アパートのなか	アパートのなか
153	153	111C	A	911C	7	plain	YES		0	0			25 01 28 1E 05 0F FF	ゆかりのこと	ゆかりのこと
154	154	1123	A	9123	8	plain	YES		0	0			AB 1E 0C 0C 1E 05 0F FF	まきこのちちのこと	まきこのちちのこと
155	155	112B	A	912B	6	plain	YES		0	0			01 2E 28 1B 2E FF	かんりにん	かんりにん
156	156	1131	A	9131	4	plain	YES		0	0			E2 4F 15 FF	ドア	ドア
157	157	1135	A	9135	5	plain	YES		0	0			B1 76 0A 0F FF	アパートの そと	アパートの そと
158	158	113A	A	913A	7	plain	YES		0	0			0D 03 18 76 17 18 FF	つくえの うえ	つくえの うえ
159	159	1141	A	9141	5	plain	YES		0	0			14 2E 4B 1A FF	ほんだな	ほんだな
160	160	1146	A	9146	5	plain	YES		0	0			E3 53 2F 4F FF	ベッド	ベッド
161	161	114B	A	914B	8	plain	YES		0	0			09 16 28 E3 4B 2E 08 FF	せいりダンス	せいりダンス
162	162	1153	A	9153	5	plain	YES		0	0			E3 08 02 33 FF	スキー	スキー
163	163	1158	A	9158	4	plain	YES		0	0			0E 41 20 FF	てがみ	てがみ
164	164	115C	A	915C	7	plain	YES		0	0			52 2E 44 16 07 32 FF	ぶんげいしょ	ぶんげいしょ
165	165	1163	A	9163	8	plain	YES		0	0			E3 08 02 33 76 14 2E FF	スキーの ほん	スキーの ほん
166	166	116B	A	916B	6	plain	YES		0	0			E4 15 29 50 21 FF	アルバム	アルバム
167	167	1171	A	9171	7	plain	YES		0	0			E5 1D 43 28 47 25 FF	ネグリジユ	ネグリジユ
168	168	1178	A	9178	5	plain	YES		0	0			AD 76 05 0F FF	うらたの こと	うらたの こと
169	169	117D	A	917D	5	plain	YES		0	0			A9 76 16 18 FF	おくむらの いえ	おくむらの いえ
170	170	1182	A	9182	7	plain	YES		0	0			0E 2E 54 17 4B 16 FF	てんぼうだい	てんぼうだい
171	171	1189	A	9189	6	plain	YES		0	0			C0 76 20 1A 0F FF	もんべつの みなと	もんべつの みなと
172	172	118F	A	918F	4	plain	YES		0	0			C3 76 C8 FF	ゆうばりの まち	ゆうばりの まち
173	173	1193	A	9193	6	plain	YES		0	0			A7 76 01 4A 03 FF	ゲンさんの かぞく	ゲンさんの かぞく
174	174	1199	A	9199	6	plain	YES		0	0			2B 50 0B 24 02 FF	ろばたやき	ろばたやき
175	175	119F	A	919F	5	plain	YES		0	0			E3 51 33 29 FF	ビール	ビール
176	176	11A4	A	91A4	5	plain	YES		0	0			52 0D 4B 2E FF	ぶつだん	ぶつだん
177	177	11A9	A	91A9	4	plain	YES		0	0			19 50 50 FF	おばば	おばば
178	178	11AD	A	91AD	8	plain	YES		0	0			01 2E 28 47 21 07 32 FF	かんりじむしょ	かんりじむしょ
179	179	11B5	A	91B5	5	plain	YES		0	0			42 32 09 2E FF	ぎょせん	ぎょせん
180	180	11BA	A	91BA	9	plain	YES		0	0			04 16 21 07 32 76 1A 01 FF	けいむしょの なか	けいむしょの なか
181	181	11C3	A	91C3	9	plain	YES		0	0			1B 2E 42 32 17 76 05 0F FF	にんぎょうの こと	にんぎょうの こと
182	182	11CC	A	91CC	8	plain	YES		0	0			47 21 07 32 76 0A 0F FF	じむしょの そと	じむしょの そと
183	183	11D4	A	91D4	10	plain	YES		0	0			07 48 2E 4B 12 1D 1E 05 0F FF	しずんだふねのこと	しずんだふねのこと
184	184	11DE	A	91DE	8	plain	YES		0	0			16 2A 16 11 76 05 0F FF	いれいひの こと	いれいひの こと
185	185	11E6	A	91E6	8	plain	YES		0	0			10 1A 0B 50 76 05 0F FF	はなたばの こと	はなたばの こと
186	186	11EE	A	91EE	5	plain	YES		0	0			10 1A 0B 50 FF	はなたば	はなたば
187	187	11F3	A	91F3	4	plain	YES		0	0			17 27 0B FF	うらた	うらた
188	188	11F7	A	91F7	7	plain	YES		0	0			0A 03 50 16 07 32 FF	そくばいしょ	そくばいしょ
189	189	11FE	A	91FE	10	plain	YES		0	0			0A 03 50 16 07 32 76 0B 1A FF	そくばいしょの たな	そくばいしょの たな
190	190	1208	A	9208	8	plain	YES		0	0			0B 2E 05 17 76 1A 01 FF	たんこうの なか	たんこうの なか
191	191	1210	A	9210	5	plain	YES		0	0			4E 2E 02 24 FF	でんきや	でんきや
192	192	1215	A	9215	5	plain	YES		0	0			E3 27 47 19 FF	ラジオ	ラジオ
193	193	121A	A	921A	10	plain	YES		0	0			E8 59 33 0B 52 29 0E 2A 51 FF	ポータブルテレビ	ポータブルテレビ
194	194	1224	A	9224	10	plain	YES		0	0			01 16 0C 31 17 4E 2E 0F 17 FF	かいちゅうでんとう	かいちゅうでんとう
195	195	122E	A	922E	7	plain	YES		0	0			E5 12 2D 20 05 2E FF	フヲミコン	フヲミコン
196	196	1235	A	9235	3	plain	YES		0	0			03 0D FF	くつ	くつ
197	197	1238	A	9238	5	plain	YES		0	0			B9 00 18 02 FF	さっぽろ えき	さっぽろ えき
198	198	123D	A	923D	10	plain	YES		0	0			0C 31 17 19 17 0B 2E 05 17 FF	ちゅうおうたんこう	ちゅうおうたんこう
199	199	1247	A	9247	5	plain	YES		0	0			E3 0F 16 2A FF	トイレ	トイレ
200	200	124C	A	924C	11	plain	YES		0	0			E4 43 28 33 2E 07 30 76 1F 18 FF	グリーンしゃの まえ	グリーンしゃの まえ
201	201	1257	A	9257	6	plain	YES		0	0			C5 39 11 4E 19 FF	あくつ・ひでお	あくつ・ひでお
202	202	125D	A	925D	5	plain	YES		0	0			2A 2F 07 30 FF	れっしゃ	れっしゃ
203	203	1262	A	9262	5	plain	YES		0	0			E3 14 33 21 FF	ホーム	ホーム
204	204	1267	A	9267	4	plain	YES		0	0			1B 44 2B FF	にげろ	にげろ
205	205	126B	A	926B	6	plain	YES		0	0			0B 16 14 07 2B FF	たいほしろ	たいほしろ
206	206	1271	A	9271	7	plain	YES		0	0			17 0B 2D 17 0B 18 FF	うたをうたえ	うたをうたえ
207	207	1278	A	9278	9	plain	YES		0	0			07 2E 4B 12 28 2D 07 2B FF	しんだふりをしろ	しんだふりをしろ
208	208	1281	A	9281	5	plain	YES		0	0			0B 0B 01 18 FF	たたかえ	たたかえ
209	209	1286	A	9286	2	plain	YES		0	0			B0 FF	やくざ	やくざ
210	210	1288	A	9288	6	plain	YES		0	0			15 24 07 16 94 FF	あやしいひと	あやしいひと
211	211	128E	A	928E	9	plain	YES		0	0			04 16 21 07 32 76 0A 0F FF	けいむしょの そと	けいむしょの そと
212	212	1297	A	9297	5	plain	YES		0	0			16 2A 16 11 FF	いれいひ	いれいひ
213	213	129C	A	929C	9	plain	YES		0	0			E4 0F 27 2E 57 74 08 29 FF	トランプを する	トランプを する
214	214	12A5	A	92A5	4	plain	YES		0	0			D1 1F 16 FF	[GLYPH:$D1]まい	[GLYPH:$D1]まい
215	215	12A9	A	92A9	4	plain	YES		0	0			D2 1F 16 FF	[GLYPH:$D2]まい	[GLYPH:$D2]まい
216	216	12AD	A	92AD	4	plain	YES		0	0			D3 1F 16 FF	[GLYPH:$D3]まい	[GLYPH:$D3]まい
217	217	12B1	A	92B1	4	plain	YES		0	0			D4 1F 16 FF	[GLYPH:$D4]まい	[GLYPH:$D4]まい
218	218	12B5	A	92B5	4	plain	YES		0	0			D5 1F 16 FF	[GLYPH:$D5]まい	[GLYPH:$D5]まい
219	219	12B9	A	92B9	4	plain	YES		0	0			24 22 29 FF	やめる	やめる
220	220	12BD	A	92BD	7	plain	YES		0	0			1F 18 1B 08 08 22 FF	まえにすすめ	まえにすすめ
221	221	12C4	A	92C4	6	plain	YES		0	0			20 42 2D 21 04 FF	みぎをむけ	みぎをむけ
222	222	12CA	A	92CA	7	plain	YES		0	0			11 4B 28 2D 21 04 FF	ひだりをむけ	ひだりをむけ
223	223	12D1	A	92D1	9	plain	YES		0	0			15 0B 28 2D 07 27 53 2B FF	あたりをしらべろ	あたりをしらべろ
224	224	12DA	A	92DA	2	plain	YES		0	0			AB FF	まきこ	まきこ
225	225	12DC	A	92DC	2	plain	YES		0	0			A5 FF	いいじま	いいじま
226	226	12DE	A	92DE	4	plain	YES		0	0			0D 03 18 FF	つくえ	つくえ
