ptr	len	raw	decoded	expanded
1767	47	64 1A 29 14 4F 3F 92 76 01 19 47 30 07 2E 2D 60 0F 2F 0E 19 16 0E 3E 0A 2A 2D 16 2B 2E 1A 94 1B 60 B3 0E 00 02 02 05 20 08 29 2C 04 6C 70 FF	くろき「なるほど。したいの かおじゃしんを\n[F1:$02]とっておいて、それをいろんなひとに\n[F1:$02]みせて ききこみするわけですね。	くろき「なるほど。したいの かおじゃしんを\n[F1:$02]とっておいて、それをいろんなひとに\n[F1:$02]みせて ききこみするわけですね。
1796	7	64 7A 0F 28 68 3F FF	くろき「では とります。	くろき「では とります。
1829	10	64 7A 88 B3 0E 02 68 3F 62 FF	くろき「では ちょっと みせてきます。\n[F1:$0A][FE][F9]	くろき「では ちょっと みせてきます。\n[F1:$0A][FE][F9]
1833	14	64 89 07 2F 0E 29 94 10 60 16 6A 6D 3F FF	くろき「とくに しってるひとは\n[F1:$02]いませんでした。	くろき「とくに しってるひとは\n[F1:$02]いませんでした。
1863	9	64 88 0B 01 1E 93 35 62 FF	くろき「ちょっと たかのさん！\n[F1:$0A][FE][F9]	くろき「ちょっと たかのさん！\n[F1:$0A][FE][F9]
186C	59	FC 07 1A 2E 4B 24 36 F8 64 01 2A 78 92 2D 20 0D 04 0B 00 94 6C 3F 62 FC 07 04 06 D1 D0 47 05 2B 01 1A 3F 17 20 2D 20 1A 41 27 60 E4 52 27 52 27 15 29 16 0E 16 0B 2E 4B 6F 62 FF	[FC:$07]なんだや？\nくろき「かれが したいをみつけた ひとです。\n[F1:$0A][FE][F9][FC:$07]けさ[GLYPH:$D1][GLYPH:$D0]じころかな。うみをみながら\n[F1:$02]ブラブラあるいていたんだよ。\n[F1:$0A][FE][F9]	[FC:$07]なんだや？\nくろき「かれが したいをみつけた ひとです。\n[F1:$0A][FE][F9][FC:$07]けさ[GLYPH:$D1][GLYPH:$D0]じころかな。うみをみながら\n[F1:$02]ブラブラあるいていたんだよ。\n[F1:$0A][FE][F9]
18A7	56	FC 07 06 16 07 32 75 19 19 02 1A E2 45 20 78 17 20 1B 60 17 16 0E 29 1A 33 0F 7C 2F 0E 6F 04 4F 00 26 03 60 20 29 0F 00 94 1E 01 0B 0C 00 07 0E 29 4E 1D 18 1E 3F 62 FF	[FC:$07]さいしょは おおきなゴミが うみに\n[F1:$02]ういてるなーとおもってよ。けど よく\n[F1:$02]みると ひとのかたち してるでねえの。\n[F1:$0A][FE][F9]	[FC:$07]さいしょは おおきなゴミが うみに\n[F1:$02]ういてるなーとおもってよ。けど よく\n[F1:$02]みると ひとのかたち してるでねえの。\n[F1:$0A][FE][F9]
18DF	38	FC 07 0A 2E 4E 00 15 2C 0E 0E 00 90 73 9D 60 07 0B 4B 3F 19 27 78 10 1A 09 29 1E 75 05 2A 4B 04 60 4B 1A 24 3F FF	[FC:$07]そんで あわてて けいさつに でんわ\n[F1:$02]しただ。おらが はなせるのは これだけ\n[F1:$02]だなや。	[FC:$07]そんで あわてて けいさつに でんわ\n[F1:$02]しただ。おらが はなせるのは これだけ\n[F1:$02]だなや。
1906	10	1A 2E 50 2E 73 01 04 68 71 FF	なんばんに かけますか？	なんばんに かけますか？
194A	44	8D 3A 10 16 00 B6 6C 41 72 7B 90 36 60 4E 80 0C 75 22 16 2B 17 01 16 04 16 78 E4 23 2F 0F 33 4E 60 24 1F 07 16 05 0F 75 84 23 72 FF	おとこ「はい ルブランですが……。え？ けいさつ？\n[F1:$02]でもうちは めいろうかいけいが モットーで\n[F1:$02]やましいことは なにも……。	おとこ「はい ルブランですが……。え？ けいさつ？\n[F1:$02]でもうちは めいろうかいけいが モットーで\n[F1:$02]やましいことは なにも……。
1976	48	8D 3A 7B 06 0D 47 2E 47 04 2E 36 00 05 2B 06 2A 0B 94 41 60 17 0C 1E E2 51 27 74 23 2F 0E 0B 36 60 0A 2E 1A 05 0F 00 16 2C 2A 0E 23 1D 18 72 FF	おとこ「え？ さつじんじけん？ ころされたひとが\n[F1:$02]うちのビラを もってた？\n[F1:$02]そんなこと いわれてもねえ……。	おとこ「え？ さつじんじけん？ ころされたひとが\n[F1:$02]うちのビラを もってた？\n[F1:$02]そんなこと いわれてもねえ……。
19A6	43	8D 3A 10 15 72 B3 75 0B 01 4B 1E 50 50 1E 60 06 01 18 4F 19 28 00 6C 41 3F 4E 80 0C 0F 10 60 01 2E 04 16 7F 0F 00 7C 16 68 6F FF	おとこ「はあ……。みせは たかだのばばの\n[F1:$02]さかえどおり ですが。でもうちとは\n[F1:$02]かんけいないと おもいますよ。	おとこ「はあ……。みせは たかだのばばの\n[F1:$02]さかえどおり ですが。でもうちとは\n[F1:$02]かんけいないと おもいますよ。
1A51	6	4E 7F 85 6C 70 FF	でないみたいですね。	でないみたいですね。
1AE9	16	64 63 3F 0B 01 4B BF 1E 96 41 60 7D 28 69 3F FF	くろき「ボス。たかだりょかんのばしょが\n[F1:$02]わかりました。	くろき「ボス。たかだりょかんのばしょが\n[F1:$02]わかりました。
1B2D	18	05 05 1B 75 0F 29 86 1A 23 1E 10 60 20 8C 6A 41 72 FF	ここには とるようなものは\n[F1:$02]みあたりませんが……。	ここには とるようなものは\n[F1:$02]みあたりませんが……。
1BD1	24	64 88 06 0D 47 2E 47 04 2E 76 05 0F 4E 60 02 02 0B 16 2E 6C 41 70 62 FF	くろき「ちょっと さつじんじけんの ことで\n[F1:$02]ききたいんですがね。\n[F1:$0A][FE][F9]	くろき「ちょっと さつじんじけんの ことで\n[F1:$02]ききたいんですがね。\n[F1:$0A][FE][F9]
1BE9	43	F2 5A ED 06 15 00 2C 0B 07 1E 07 28 15 16 1B 10 60 94 45 2B 07 2D 08 29 86 1A 00 94 10 60 16 7F 0F 00 7C 16 68 41 72 F2 5F ED FF	[F2:$ED5A]さあ わたしのしりあいには\n[F1:$02]ひとごろしをするような ひとは\n[F1:$02]いないと おもいますが……。[F2:$ED5F]	おとこ「[F0:$81]さあ わたしのしりあいには\n[F1:$02]ひとごろしをするような ひとは\n[F1:$02]いないと おもいますが……。[F0:$82]
1C14	31	F2 5A ED 06 15 3F 05 2B 06 2A 29 86 1A 00 94 1B 23 60 05 05 2B 8C 78 7E 6A 41 72 F2 5F ED FF	[F2:$ED5A]さあ。ころされるような ひとにも\n[F1:$02]こころあたりが ありませんが……。[F2:$ED5F]	おとこ「[F0:$81]さあ。ころされるような ひとにも\n[F1:$02]こころあたりが ありませんが……。[F0:$82]
1C33	60	F2 5A ED 7B 06 16 02 2E 00 17 0C 1E B3 1B 02 0B 00 94 4E 60 15 24 07 16 47 2E 52 0D 6C 71 00 4E 23 00 19 02 30 03 1E 60 94 28 94 28 1E 05 0F 1F 7A 19 54 18 0E 7F 6C 6F F2 5F ED FF	[F2:$ED5A]え？ さいきん うちのみせにきた ひとで\n[F1:$02]あやしいじんぶつですか？ でも おきゃくの\n[F1:$02]ひとりひとりのことまでは おぼえてないですよ。[F2:$ED5F]	おとこ「[F0:$81]え？ さいきん うちのみせにきた ひとで\n[F1:$02]あやしいじんぶつですか？ でも おきゃくの\n[F1:$02]ひとりひとりのことまでは おぼえてないですよ。[F0:$82]
1CB2	14	64 7D 28 69 3F 7A 88 20 0E 02 68 3F 62 FF	くろき「わかりました。では ちょっと みてきます。\n[F1:$0A][FE][F9]	くろき「わかりました。では ちょっと みてきます。\n[F1:$0A][FE][F9]
1DFD	19	64 89 02 1B 1A 29 86 1A 00 0F 05 2B 10 60 7E 6A 41 72 FF	くろき「とくに きになるような ところは\n[F1:$02]ありませんが……。	くろき「とくに きになるような ところは\n[F1:$02]ありませんが……。
1E10	25	F2 62 ED 1D 18 00 84 00 E6 02 32 2B 02 32 2B 07 0E 16 29 1E 36 F2 6A ED FF	[F2:$ED62]ねえ なに キョロキョロしているの？[F2:$ED6A]	アケミ「[F0:$81]ねえ なに キョロキョロしているの？[F0:$82]
1E29	21	F2 62 ED 8C 1F 18 26 35 00 80 00 01 18 2F 0B 27 36 F2 6A ED FF	[F2:$ED62]あたりまえよ！ もう かえったら？[F2:$ED6A]	アケミ「[F0:$81]あたりまえよ！ もう かえったら？[F0:$82]
1E3E	30	F2 62 ED 1A 15 73 0A 2A 36 60 15 1A 0B 0B 0C 00 8F 93 36 00 17 0A 4E 07 32 3F F2 6A ED FF	[F2:$ED62]なあに それ？\n[F1:$02]あなたたち けいじさん？ うそでしょ。[F2:$ED6A]	アケミ「[F0:$81]なあに それ？\n[F1:$02]あなたたち けいじさん？ うそでしょ。[F0:$82]
1E5C	33	F2 62 ED 1D 18 00 0A 2E 1A 05 0F 26 28 00 23 2F 0F 60 0B 1E 07 16 00 19 97 00 07 6B 6F F2 6A ED FF	[F2:$ED62]ねえ そんなことより もっと\n[F1:$02]たのしい おはなし しましょうよ。[F2:$ED6A]	アケミ「[F0:$81]ねえ そんなことより もっと\n[F1:$02]たのしい おはなし しましょうよ。[F0:$82]
1E7D	25	F2 62 ED 0A 2E 1A 05 0F 00 02 01 2A 0B 2F 0E 00 07 27 7F 2C 35 F2 6A ED FF	[F2:$ED62]そんなこと きかれたって しらないわ！[F2:$ED6A]	アケミ「[F0:$81]そんなこと きかれたって しらないわ！[F0:$82]
1EC5	27	F2 62 ED 17 12 2F 3E 03 08 43 2F 0B 16 2C 3F 60 80 00 25 29 07 0E 72 F2 6A ED FF	[F2:$ED62]うふっ、くすぐったいわ。\n[F1:$02]もう ゆるして……。[F2:$ED6A]	アケミ「[F0:$81]うふっ、くすぐったいわ。\n[F1:$02]もう ゆるして……。[F0:$82]
1EE0	18	F2 62 ED 16 24 35 00 06 2C 27 7F 4E 26 35 F2 6A ED FF	[F2:$ED62]いや！ さわらないでよ！[F2:$ED6A]	アケミ「[F0:$81]いや！ さわらないでよ！[F0:$82]
1EF2	40	64 16 24 00 25 29 06 7F 6F 60 14 27 00 EA 05 0C 32 05 0C 32 00 05 0C 32 3F F8 F2 62 ED 02 30 10 10 10 10 72 F2 6A ED FF	くろき「いや ゆるさないよ。\n[F1:$02]ほら コチョコチョ コチョ。\n[F2:$ED62]きゃはははは……。[F2:$ED6A]	くろき「いや ゆるさないよ。\n[F1:$02]ほら コチョコチョ コチョ。\nアケミ「[F0:$81]きゃはははは……。[F0:$82]
1F44	50	F2 42 E9 F2 62 ED 15 27 00 15 1A 0B 0B 0C 00 8F 93 36 60 0A 17 3D 3D 3E 0A 17 1A 1E 72 60 15 0B 07 00 90 2F 0E 00 4B 16 02 27 16 1A 1E 3F F2 6A ED FF	[F2:$E942][F2:$ED62]あら あなたたち けいじさん？\n[F1:$02]そう……、そうなの……。\n[F1:$02]あたし けいさつって だいきらいなの。[F2:$ED6A]	くろき「ちょっと これを みてくれますか？\n[F1:$0A][FE][F9]アケミ「[F0:$81]あら あなたたち けいじさん？\n[F1:$02]そう……、そうなの……。\n[F1:$02]あたし けいさつって だいきらいなの。[F0:$82]
2022	45	F2 6D ED 1D 18 00 08 05 07 75 19 0C 0D 16 0B 27 00 4F 17 1A 1E 36 60 E6 02 32 2B 02 32 2B 07 0B 2F 0E 00 84 23 1A 03 0E 6F F2 74 ED FF	[F2:$ED6D]ねえ すこしは おちついたら どうなの？\n[F1:$02]キョロキョロしたって なにもなくてよ。[F2:$ED74]	ルナ「[F0:$89]ねえ すこしは おちついたら どうなの？\n[F1:$02]キョロキョロしたって なにもなくてよ。[F0:$8A]
204F	50	F2 6D ED 06 0D 47 2E 47 04 2E 36 00 4E 23 00 06 16 02 2E 00 15 0B 07 1E 60 1F 2C 28 4E 00 16 1A 03 1A 2F 0B 94 1A 2E 0E 60 16 1A 03 0E 6F F2 74 ED FF	[F2:$ED6D]さつじんじけん？ でも さいきん あたしの\n[F1:$02]まわりで いなくなったひとなんて\n[F1:$02]いなくてよ。[F2:$ED74]	ルナ「[F0:$89]さつじんじけん？ でも さいきん あたしの\n[F1:$02]まわりで いなくなったひとなんて\n[F1:$02]いなくてよ。[F0:$8A]
2081	15	F2 6D ED 06 15 00 07 27 7F 2C 3F F2 74 ED FF	[F2:$ED6D]さあ しらないわ。[F2:$ED74]	ルナ「[F0:$89]さあ しらないわ。[F0:$8A]
2090	20	64 05 76 8D 1B 0D 16 0E 60 02 01 09 0E 23 27 18 68 71 62 FF	くろき「この おとこについて\n[F1:$02]きかせてもらえますか？\n[F1:$0A][FE][F9]	くろき「この おとこについて\n[F1:$02]きかせてもらえますか？\n[F1:$0A][FE][F9]
20A4	55	F2 6D ED 08 45 03 07 0D 05 16 00 94 4E 1D 3E B3 78 19 2C 2F 0B 27 60 E2 19 2A 1E BF 1B 05 7F 01 2F 0E 00 06 0A 17 1E 6F 60 47 32 17 4B 2E 47 30 7F 2C 70 F2 74 ED FF	[F2:$ED6D]すごくしつこい ひとでね、みせが おわったら\n[F1:$02]オレのりょかんにこないかって さそうのよ。\n[F1:$02]じょうだんじゃないわね。[F2:$ED74]	ルナ「[F0:$89]すごくしつこい ひとでね、みせが おわったら\n[F1:$02]オレのりょかんにこないかって さそうのよ。\n[F1:$02]じょうだんじゃないわね。[F0:$8A]
20DB	31	F2 6D ED 7B 0A 1E BF 36 00 0B 07 01 3D 3D 60 0B 01 4B BF 2F 0E 16 2F 0E 0B 2C 70 F2 74 ED FF	[F2:$ED6D]え？ そのりょかん？ たしか……\n[F1:$02]たかだりょかんっていってたわね。[F2:$ED74]	ルナ「[F0:$89]え？ そのりょかん？ たしか……\n[F1:$02]たかだりょかんっていってたわね。[F0:$8A]
20FA	7	64 0B 01 4B BF 36 FF	くろき「たかだりょかん？	くろき「たかだりょかん？
2101	22	F2 6D ED 06 15 00 05 1E 0C 01 03 76 BF 47 30 7F 1E 36 F2 74 ED FF	[F2:$ED6D]さあ このちかくの りょかんじゃないの？[F2:$ED74]	ルナ「[F0:$89]さあ このちかくの りょかんじゃないの？[F0:$8A]
2117	21	F2 6D ED 1D 18 00 80 00 16 16 4E 07 32 3E 8F 93 36 F2 74 ED FF	[F2:$ED6D]ねえ もう いいでしょ、けいじさん？[F2:$ED74]	ルナ「[F0:$89]ねえ もう いいでしょ、けいじさん？[F0:$8A]
212C	27	64 E2 29 1A 0C 30 2E 0F 77 16 2F 0B 70 60 88 07 27 53 06 09 0E 23 27 17 6F 62 FF	くろき「ルナちゃんとか いったね。\n[F1:$02]ちょっと しらべさせてもらうよ。\n[F1:$0A][FE][F9]	くろき「ルナちゃんとか いったね。\n[F1:$02]ちょっと しらべさせてもらうよ。\n[F1:$0A][FE][F9]
2147	25	F2 6D ED 15 0B 07 74 07 27 53 0B 2F 0E 00 21 4B 6F 60 8F 93 3F F2 74 ED FF	[F2:$ED6D]あたしを しらべたって むだよ。\n[F1:$02]けいじさん。[F2:$ED74]	ルナ「[F0:$89]あたしを しらべたって むだよ。\n[F1:$02]けいじさん。[F0:$8A]
21A9	30	E2 29 1A 3A 15 15 00 05 1E 94 3F D5 FB 73 14 4F 1F 18 60 B3 1B 02 0B 00 94 4B 2C 3F 62 FF	ルナ「ああ このひと。[GLYPH:$D5][FB:$73]ほどまえ\n[F1:$02]みせにきた ひとだわ。\n[F1:$0A][FE][F9]	ルナ「ああ このひと。[GLYPH:$D5][FB:$73]ほどまえ\n[F1:$02]みせにきた ひとだわ。\n[F1:$0A][FE][F9]
21C7	60	E2 29 1A 3A 80 08 43 00 0B 16 02 2E 78 10 16 29 2F 0E 16 2F 0E 0B 1E 1B 60 19 01 2E 47 32 17 1E 0F 02 00 23 22 0C 30 2F 0E 72 60 4B 01 27 00 15 0B 07 00 19 54 18 0E 16 29 1E 3F FF	ルナ「もうすぐ たいきんが はいるっていってたのに\n[F1:$02]おかんじょうのとき もめちゃって……。\n[F1:$02]だから あたし おぼえているの。	ルナ「もうすぐ たいきんが はいるっていってたのに\n[F1:$02]おかんじょうのとき もめちゃって……。\n[F1:$02]だから あたし おぼえているの。
2295	18	19 01 20 3A 1A 2E 4B 08 36 00 15 2E 0B 0B 0C 10 36 FF	おかみ「なんだす？ あんたたちは？	おかみ「なんだす？ あんたたちは？
22A7	20	19 01 20 3A 06 15 00 0A 7F 1A 05 0F 00 02 01 2A 0E 23 72 FF	おかみ「さあ そないなこと きかれても……。	おかみ「さあ そないなこと きかれても……。
22CE	14	19 01 20 3A 84 74 08 29 2E 4B 08 36 62 FF	おかみ「なにを するんだす？\n[F1:$0A][FE][F9]	おかみ「なにを するんだす？\n[F1:$0A][FE][F9]
231B	55	19 01 20 3A 19 24 00 05 1E 94 72 0B 07 01 73 05 05 1B 60 0F 1F 2F 0E 69 3F 04 4F 3E D5 FB 73 14 4F 1F 18 00 01 50 2E 2D 60 19 16 0B 1F 1F 00 0A 2A 2F 02 28 4E 72 FF	おかみ「おや このひと……。たしかに ここに\n[F1:$02]とまってました。けど、[GLYPH:$D5][FB:$73]ほどまえ かばんを\n[F1:$02]おいたまま それっきりで……。	おかみ「おや このひと……。たしかに ここに\n[F1:$02]とまってました。けど、[GLYPH:$D5][FB:$73]ほどまえ かばんを\n[F1:$02]おいたまま それっきりで……。
2352	24	19 01 20 3A 1A 2E 0F 00 05 2B 06 2A 1A 06 2F 0B 38 00 15 2C 2C 72 62 FF	おかみ「なんと ころされなさった[GLYPH:$38] あわわ……。\n[F1:$0A][FE][F9]	おかみ「なんと ころされなさった[GLYPH:$38] あわわ……。\n[F1:$0A][FE][F9]
23CF	24	64 05 05 1B 16 0B 00 8D 1B 0D 16 0E 60 02 01 09 0E 23 27 18 68 71 62 FF	くろき「ここにいた おとこについて\n[F1:$02]きかせてもらえますか？\n[F1:$0A][FE][F9]	くろき「ここにいた おとこについて\n[F1:$02]きかせてもらえますか？\n[F1:$0A][FE][F9]
23E7	46	19 01 20 3A 7C 18 50 00 19 01 07 1A 00 94 00 6D 2C 3F 60 16 0D 23 00 11 29 1F 4E 00 1D 0E 0E 00 25 17 41 0B 45 2B 60 4E 01 04 29 3F 62 FF	おかみ「おもえば おかしな ひと でしたわ。\n[F1:$02]いつも ひるまで ねてて ゆうがたごろ\n[F1:$02]でかける。\n[F1:$0A][FE][F9]	おかみ「おもえば おかしな ひと でしたわ。\n[F1:$02]いつも ひるまで ねてて ゆうがたごろ\n[F1:$02]でかける。\n[F1:$0A][FE][F9]
2415	33	19 01 20 3A 4F 2F 77 0F 19 03 01 27 02 0E 16 0B 87 04 4F 60 B4 73 84 2D 07 1B 02 0B 1E 24 27 72 FF	おかみ「どっか とおくからきていたらしいけど\n[F1:$02]とうきょうに なにをしにきたのやら……。	おかみ「どっか とおくからきていたらしいけど\n[F1:$02]とうきょうに なにをしにきたのやら……。
2436	36	64 05 1E 13 24 1B 16 0B 8D 10 60 82 77 16 1A 01 01 27 00 4E 0E 02 0E 60 0A 07 0E 00 05 2B 06 2A 0B 72 62 FF	くろき「このへやにいたおとこは\n[F1:$02]どこか いなかから でてきて\n[F1:$02]そして ころされた……。\n[F1:$0A][FE][F9]	くろき「このへやにいたおとこは\n[F1:$02]どこか いなかから でてきて\n[F1:$02]そして ころされた……。\n[F1:$0A][FE][F9]
245A	46	64 E2 29 1A 73 80 08 43 00 0B 16 02 2E 78 10 16 29 60 1A 4F 0F 00 97 0E 16 0B 87 07 00 84 01 60 02 1A 03 06 16 23 1E 74 01 2E 47 68 70 FF	くろき「ルナに もうすぐ たいきんが はいる\n[F1:$02]などと はなしていたらしいし なにか\n[F1:$02]きなくさいものを かんじますね。	くろき「ルナに もうすぐ たいきんが はいる\n[F1:$02]などと はなしていたらしいし なにか\n[F1:$02]きなくさいものを かんじますね。
2502	24	64 19 24 00 01 50 2E 1E 07 0B 73 E3 10 41 02 41 60 19 0C 0E 16 69 3F FF	くろき「おや かばんのしたに ハガキが\n[F1:$02]おちていました。	くろき「おや かばんのしたに ハガキが\n[F1:$02]おちていました。
253D	34	64 15 2F 3E 0A 17 01 15 35 00 E3 10 41 02 1E 7C 0E 1E 60 15 0E 1A 2D 20 2A 50 00 16 16 2E 6C 70 62 FF	くろき「あっ、そうかあ！ ハガキのおもての\n[F1:$02]あてなをみれば いいんですね。\n[F1:$0A][FE][F9]	くろき「あっ、そうかあ！ ハガキのおもての\n[F1:$02]あてなをみれば いいんですね。\n[F1:$0A][FE][F9]
255F	30	64 18 33 0F 72 14 2F 01 16 4F 17 00 03 07 2B 07 60 CF 3D 3D 3E A4 00 52 2E 02 0C 3F 62 FF	くろき「えーと……。ほっかいどう くしろし\n[F1:$02]みどりがおか……、ますだ ぶんきち。\n[F1:$0A][FE][F9]	くろき「えーと……。ほっかいどう くしろし\n[F1:$02]みどりがおか……、ますだ ぶんきち。\n[F1:$0A][FE][F9]
257D	27	64 63 35 00 24 2F 0F 00 05 2B 06 2A 0B 00 8D 1E 60 20 23 0F 78 7D 28 69 3F 62 FF	くろき「ボス！ やっと ころされた おとこの\n[F1:$02]みもとが わかりました。\n[F1:$0A][FE][F9]	くろき「ボス！ やっと ころされた おとこの\n[F1:$02]みもとが わかりました。\n[F1:$0A][FE][F9]
2598	40	64 05 2A 4E 00 14 2E 01 03 0E 02 1A 00 0A 17 06 41 60 10 47 22 27 2A 68 70 60 23 1E 41 0B 28 75 05 2A 01 27 6C 35 62 FF	くろき「これで ほんかくてきな そうさが\n[F1:$02]はじめられますね。\n[F1:$02]ものがたりは これからです！\n[F1:$0A][FE][F9]	くろき「これで ほんかくてきな そうさが\n[F1:$02]はじめられますね。\n[F1:$02]ものがたりは これからです！\n[F1:$0A][FE][F9]
3362	69	47 31 2E 06 3A 05 27 35 00 15 2E 0B 27 00 84 2D 08 29 1D 35 62 47 31 2E 06 3A 2C 07 75 05 05 76 47 31 2E 06 4B 41 60 01 2E 01 0D 41 16 76 94 73 01 2F 0E 1A E2 1F 1D 2D 60 06 2A 0E 75 05 1F 29 1E 17 3F 62 FF	じゅんさ「こら！ あんたら なにをするね！\n[F1:$0A][FE][F9]じゅんさ「わしは ここの じゅんさだが\n[F1:$02]かんかつがいの ひとに かってなマネを\n[F1:$02]されては こまるのう。\n[F1:$0A][FE][F9]	じゅんさ「こら！ あんたら なにをするね！\n[F1:$0A][FE][F9]じゅんさ「わしは ここの じゅんさだが\n[F1:$02]かんかつがいの ひとに かってなマネを\n[F1:$02]されては こまるのう。\n[F1:$0A][FE][F9]
344E	17	65 A5 00 25 02 19 76 21 08 05 3E 60 A6 93 6C 3F FF	シュン「いいじま ゆきおの むすこ、\n[F1:$02]しんじさんです。	シュン「いいじま ゆきおの むすこ、\n[F1:$02]しんじさんです。
3985	28	65 7A 05 1E 8C 1E 94 1B 60 16 2B 16 2B 0F 00 B3 0E 00 97 2D 60 02 16 0E 20 6B 3F FF	シュン「では このあたりのひとに\n[F1:$02]いろいろと みせて はなしを\n[F1:$02]きいてみましょう。	シュン「では このあたりのひとに\n[F1:$02]いろいろと みせて はなしを\n[F1:$02]きいてみましょう。
3B4A	14	65 05 1E 94 74 07 27 53 29 2E 6C 70 62 FF	シュン「このひとを しらべるんですね。\n[F1:$0A][FE][F9]	シュン「このひとを しらべるんですね。\n[F1:$0A][FE][F9]
3F77	16	65 10 16 00 0F 28 68 26 19 3F E3 0C 33 48 3F FF	シュン「はい とりますよお。チーズ。	シュン「はい とりますよお。チーズ。
3F87	37	F2 AE ED 2C 33 16 00 15 28 41 0F 17 3F 60 99 41 4E 02 0B 27 00 15 1A 0B 0B 0C 1B 23 00 19 03 29 70 F2 B3 ED FF	[F2:$EDAE]わーい ありがとう。\n[F1:$02]しゃしんができたら あなたたちにも おくるね。[F2:$EDB3]	[FC:$63][F0:$B1]わーい ありがとう。\n[F1:$02]しゃしんができたら あなたたちにも おくるね。[F0:$B2]
411B	15	65 F2 7A E8 73 4B 2A 74 26 52 02 00 6C 71 FF	シュン「[F2:$E87A]に だれを よぶき ですか？	シュン「こんなところに だれを よぶき ですか？
463D	7	65 BD 00 6C 3F 62 FF	シュン「しれとこ ごこ です。\n[F1:$0A][FE][F9]	シュン「しれとこ ごこ です。\n[F1:$0A][FE][F9]
4CCD	25	F2 DA ED 15 28 41 0F 17 45 46 16 68 3F D2 D0 D0 18 2E 6C 3F F2 E1 ED 62 FF	[F2:$EDDA]ありがとうございます。[GLYPH:$D2][GLYPH:$D0][GLYPH:$D0]えんです。[F2:$EDE1]\n[F1:$0A][FE][F9]	おばさん「[F0:$81]ありがとうございます。[GLYPH:$D2][GLYPH:$D0][GLYPH:$D0]えんです。[F0:$82]\n[F1:$0A][FE][F9]
