TYPE	JP	READING	RU	GENDER	ROLE / NOTE	STATUS
PLACE	晴海埠頭	Harumi futou	причал Харуми	-	Стартовое место расследования в Токио. В коротком UI: ХАРУМИ.	LOCKED
PLACE	栄通り	Sakae-doori	улица Сакаэ	-	Токио. В UI: УЛ. САКАЭ.	LOCKED
PLACE	ルブラン	Le Blanc	Леблан	-	Кабаре/ночной клуб в Такаданобаба.	LOCKED
PLACE	高田旅館	Takada ryokan	гостиница «Такада»	-	В UI: ОТЕЛЬ ТАКАДА из-за места.	LOCKED
PLACE	釧路	Kushiro	Кусиро	-	Город в Хоккайдо.	LOCKED
PLACE	緑ヶ丘 / みどりがおか	Midorigaoka	Мидоригаока	-	Район Кусиро; в старом WIP было «МИДОРИ-ОКА», заменить на МИДОРИГАОКА при финальной вставке.	LOCKED
PLACE	網走	Abashiri	Абасири	-	Город; тюрьма Абасири — важная локация.	LOCKED
PLACE	北浜	Kitahama	Китахама	-	Прибрежная локация.	LOCKED
PLACE	札幌	Sapporo	Саппоро	-	Город.	LOCKED
PLACE	すすきの	Susukino	Сусукино	-	Район Саппоро.	LOCKED
PLACE	網走港	Abashiri-kou	порт Абасири	-	Локация.	LOCKED
PLACE	摩周湖	Mashuu-ko	озеро Масю	-	Локация.	LOCKED
PLACE	知床五湖	Shiretoko-goko	Пять озёр Сиретоко	-	В UI допустимо «ОЗЁРА СИРЕТОКО».	LOCKED
PLACE	ウトロ	Utoro	Уторо	-	Посёлок/порт.	LOCKED
PLACE	阿寒湖	Akan-ko	озеро Акан	-	Локация.	LOCKED
PLACE	屈斜路湖	Kussharo-ko	озеро Куссяро	-	Локация.	LOCKED
PLACE	和琴温泉	Wakoto onsen	онсэн Вакото	-	Горячий источник.	LOCKED
PLACE	紋別	Monbetsu	Момбэцу	-	Город/порт.	LOCKED
PLACE	夕張	Yuubari	Юбари	-	Город, шахта.	LOCKED
PLACE	函館	Hakodate	Хакодатэ	-	Город.	LOCKED
PLACE	野付半島	Notsuke hantou	полуостров Ноцукэ	-	Локация.	LOCKED
PLACE	トドワラ	Todowara	Тодовара	-	Природная локация.	LOCKED
PLACE	コロポックリ	Koropokkuri	«Коропоккури»	-	Робатаяки в Сусукино, где работает Гэн-сан.	LOCKED
ORG	北龍会	Hokuryuukai	Хокурю-кай	-	Якудза-группировка.	LOCKED
ITEM	ニポポ人形	Nipopo ningyou	кукла нипопо	-	Деревянная айнская кукла; важная улика/символ.	LOCKED
ITEM	そうさメモ	sousa memo	пароль / запись расследования	-	На FC это 20-символьный пароль продолжения. В главном UI переводим «ПАРОЛЬ».	LOCKED
TERM	警部	keibu	инспектор	-	Формально ранг не полностью совпадает с русским «инспектором», но это лучший краткий функциональный вариант. В обращении Куроки/Сюна чаще «Шеф».	LOCKED
TERM	刑事	keiji	детектив / полицейский / инспектор	-	Выбирать по контексту; не злоупотреблять частным «детективом».	STYLE
なかの かずお	Кадзуо Накано	мужчина, молодожён; вместе с Юмико обнаруживает тело у Пяти озёр Сиретоко
ゆみこ	Юмико	женщина, жена Кадзуо Накано
ロバタヤキ	робатаяки	японский способ приготовления еды у очага; в Коропоккури
